call_idx,turn_idx,sentence,act
13,19,phone number,['request']
13,20,the phone number of prezzo is,"['inform', 'offer']"
13,21,thank you good bye,"['thankyou', 'bye']"
14,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
14,1,i need a restaurant serving corsica food,['inform']
14,2,i m sorry but there is no restaurant serving corsica food,['canthelp']
14,3,i need indian food,['inform']
14,4,what part of town do you have in mind?,['request']
14,5,south,['inform']
14,6,taj tandoori is a nice place in the south of town serving tasty indian food,"['inform', 'offer']"
14,7,phone number,['request']
14,8,taj tandoori is a great restaurant,['offer']
14,9,phone number,['request']
14,10,the phone number of taj tandoori is,"['inform', 'offer']"
14,11,thank you good bye,"['thankyou', 'bye']"
15,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
15,1,caribbean food,['inform']
15,2,i am sorry but there is no caribbean restaurant that matches your request,['canthelp']
15,3,thai food,['inform']
15,4,would you like something in the cheap moderate or expensive price range?,['request']
15,5,west part of town,['inform']
15,6,sorry there is no chinese restaurant in the west of town,['canthelp']
15,7,thai food,['inform']
15,8,sorry there is no chinese restaurant in the west of town,['canthelp']
15,9,thai,['inform']
15,10,sala thong is a nice restaurant in the west of town serving thai food,"['inform', 'offer']"
15,11,price range,['request']
15,12,sala thong is in the expensive price range,"['inform', 'offer']"
15,13,phone number,['request']
15,14,the phone number of sala thong is,"['inform', 'offer']"
15,15,addresses,['request']
15,16,can i help you with anything else?,['reqmore']
15,17,addresses,['request']
15,18,sure sala thong is on newnham road newnham,"['inform', 'offer']"
15,19,thank you good bye,"['thankyou', 'bye']"
16,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
16,1,can i get a cheap restaurant in the south part of town,['inform']
16,2,what kind of food would you like?,['request']
16,3,any,['inform']
16,4,the lucky star is a nice place in the south of town and the prices are cheap,"['inform', 'offer']"
16,5,type of food,['request']
16,6,the lucky star is a great restaurant,['offer']
16,7,type of food,['request']
16,8,the lucky star serves chinese food,"['inform', 'offer']"
16,9,the addresses,['request']
16,10,sure the lucky star is on cambridge leisure park clifton way cherry hinton,"['inform', 'offer']"
16,11,thank you good bye,"['thankyou', 'bye']"
17,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
17,1,venetian,['inform']
17,2,would you like something in the cheap moderate or expensive price range?,['request']
17,3,center,['inform']
17,4,what kind of food would you like?,['request']
17,5,vegetarian,['inform']
17,6,sorry there is no vegetarian restaurant in the centre of town,['canthelp']
17,7,asian oriental,['inform']
17,8,dojo noodle bar is a nice restaurant in the centre of town serving asian oriental food,"['inform', 'offer']"
17,9,phone number,['request']
17,10,dojo noodle bar is a nice restaurant in the centre of town serving asian oriental food,"['inform', 'offer']"
17,11,phone,['request']
17,12,dojo noodle bar is a nice restaurant in the centre of town serving asian oriental food,"['inform', 'offer']"
17,13,phone number,['request']
17,14,dojo noodle bar is a nice restaurant in the centre of town serving asian oriental food,"['inform', 'offer']"
17,15,phone number,['request']
17,16,the phone number of dojo noodle bar is,"['inform', 'offer']"
17,17,thank you good bye,"['thankyou', 'bye']"
18,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
18,1,i need a cheap restaurant in the west part of town,['inform']
18,2,what kind of food would you like?,['request']
18,3,um english,['inform']
18,4,i m sorry but there is no restaurant serving english food,['canthelp']
18,5,pizza,['null']
18,6,i m sorry but there is no restaurant serving english food,['canthelp']
18,7,okay,['null']
18,8,i m sorry but there is no restaurant serving english food,['canthelp']
18,9,american,['inform']
18,10,i m sorry but there is no restaurant serving english food,['canthelp']
18,11,okay,['null']
18,12,i m sorry but there is no restaurant serving english food,['canthelp']
18,13,back,['repeat']
18,14,did you say you are looking for a restaurant in the west of town?,['expl-conf']
18,15,yes,['affirm']
18,16,you are looking for a english restaurant right?,['expl-conf']
18,17,no,['negate']
18,18,let me confirm you are looking for a restaurant in the cheap price range right?,['expl-conf']
18,19,yes,['affirm']
18,20,i m sorry but there is no restaurant serving english food,['canthelp']
18,21,okay,['null']
18,22,i m sorry but there is no restaurant serving english food,['canthelp']
18,23,back,['repeat']
18,24,i m sorry but there is no restaurant serving english food,['canthelp']
18,25,thank you good bye,"['thankyou', 'bye']"
19,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
19,1,im looking for a cheap restaurant,['inform']
19,2,what part of town do you have in mind?,['request']
19,3,south,['inform']
19,4,what kind of food would you like?,['request']
19,5,i dont care,['inform']
19,6,nando s is a nice place in the south of town and the prices are cheap,"['inform', 'offer']"
19,7,do you have the addresses,['request']
19,8,sure nando s is on cambridge leisure park clifton way,"['inform', 'offer']"
19,9,phone number,['request']
19,10,the phone number of nando s is,"['inform', 'offer']"
19,11,its a type of food,['request']
19,12,nando s serves portuguese food,"['inform', 'offer']"
19,13,thank you good bye,"['thankyou', 'bye']"
20,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
20,1,im looking for a cheap restaurant,['inform']
20,2,what part of town do you have in mind?,['request']
20,3,west,['inform']
20,4,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,5,is there anything else,['reqalts']
20,6,you are looking for a restaurant is that right?,['confirm-domain']
20,7,right,['affirm']
20,8,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,9,is there anything else,['reqalts']
20,10,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,11,anything else,['reqalts']
20,12,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,13,anything else,['reqalts']
20,14,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,15,whats their phone number,['request']
20,16,the phone number of thanh binh is,"['inform', 'offer']"
20,17,is there any other restaurants,['reqalts']
20,18,la margherita is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
20,19,what is their phone number,['request']
20,20,the phone number of la margherita is,"['inform', 'offer']"
20,21,what is their addresses,['request']
20,22,sure la margherita is on magdalene street city centre,"['inform', 'offer']"
20,23,cute thank you good bye,['bye']
21,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
21,1,for a cheap restaurant in the south part of town,['inform']
21,2,what kind of food would you like?,['request']
21,3,any,['inform']
21,4,the lucky star is a nice place in the south of town and the prices are cheap,"['inform', 'offer']"
21,5,s the addresses,['request']
21,6,sure the lucky star is on cambridge leisure park clifton way cherry hinton,"['inform', 'offer']"
21,7,the phone number,['request']
21,8,the phone number of the lucky star is,"['inform', 'offer']"
21,9,k you goodbye,['bye']
22,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
22,1,looking for a restaurant in the east part of town,['inform']
22,2,what kind of food would you like?,['request']
22,3,greek,['inform']
22,4,what kind of food would you like?,['request']
22,5,greek,['inform']
22,6,sorry there is no greek restaurant in the east of town,['canthelp']
22,7,indian,['inform']
22,8,rajmahal is a nice restaurant in the east of town serving indian food,"['inform', 'offer']"
22,9,whats its addresses,['request']
22,10,sure rajmahal is on barnwell road fen ditton,"['inform', 'offer']"
22,11,phone number,['request']
22,12,the phone number of rajmahal is,"['inform', 'offer']"
22,13,thank you good bye,"['thankyou', 'bye']"
23,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
23,1,looking for a moderately priced restaurant in the east part of town,['inform']
23,2,pizza hut fen ditton is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
23,3,whats the addresses,['request']
23,4,sure pizza hut fen ditton is on cambridge retail park newmarket road fen ditton,"['inform', 'offer']"
23,5,thank you good bye,"['thankyou', 'bye']"
23,6,pizza hut fen ditton is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
23,7,thank you good bye,"['thankyou', 'bye']"
24,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
24,1,looking for a moderately priced restaurant,['inform']
24,2,what part of town do you have in mind?,['request']
24,3,any,['inform']
24,4,what kind of food would you like?,['request']
24,5,polish,['inform']
24,6,i m sorry but there is no restaurant serving polish food,['canthelp']
24,7,european,['inform']
24,8,galleria serves european food in the moderate price range,"['inform', 'offer']"
24,9,whats its addresses,['request']
24,10,sure galleria is on bridge street,"['inform', 'offer']"
24,11,whats its post code,['request']
24,12,the post code of galleria is c b u w,"['inform', 'offer']"
24,13,thank you good bye,"['thankyou', 'bye']"
25,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
25,1,i want to find an expensive restaurant in the south part of town,['inform']
25,2,what kind of food would you like?,['request']
25,3,any,['inform']
25,4,frankie and is a nice restaurant in the south of town serving italian food,"['inform', 'offer']"
25,5,phone number,['request']
25,6,the phone number of frankie and is,"['inform', 'offer']"
25,7,post code,['request']
25,8,the post code of frankie and is c b d y,"['inform', 'offer']"
25,9,you good bye,['bye']
26,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
26,1,looking for an expensive restaurant that serves indonesian food,['inform']
26,2,let me confirm you are looking for a restaurant in the expensive price range right?,['expl-conf']
26,3,right,['affirm']
26,4,i m sorry but there is no restaurant serving indonesian food,['canthelp']
26,5,is there a restaurant serving british food,"['inform', 'reqalts']"
26,6,i m sorry but there is no restaurant serving indonesian food,['canthelp']
26,7,i dont care,['inform']
26,8,you are looking for a indonesian restaurant right?,['expl-conf']
26,9,wrong,['negate']
26,10,let me confirm you are looking for a restaurant in the expensive price range right?,['expl-conf']
26,11,i dont care,['inform']
26,12,i m sorry but there is no restaurant serving indonesian food,['canthelp']
26,13,im looking for british food,['inform']
26,14,you are looking for a british restaurant right?,['expl-conf']
26,15,right,['affirm']
26,16,let me confirm you are looking for a restaurant in the expensive price range right?,['expl-conf']
26,17,right,['affirm']
26,18,what part of town do you have in mind?,['request']
26,19,i dont care,['inform']
26,20,travellers rest serves british food in the expensive price range,"['inform', 'offer']"
26,21,the phone number,['request']
26,22,travellers rest is a great restaurant,['offer']
26,23,what is the phone number,['request']
26,24,the phone number of travellers rest is,"['inform', 'offer']"
26,25,you good bye,['bye']
27,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
27,1,looking for a moderately priced restaurant,['inform']
27,2,what kind of food would you like?,['request']
27,3,any,['inform']
27,4,what part of town do you have in mind?,['request']
27,5,east,['inform']
27,6,rajmahal is a nice restaurant in the east of town serving indian food,"['inform', 'offer']"
27,7,uh what its phone number,['request']
27,8,the phone number of rajmahal is,"['inform', 'offer']"
27,9,whats its post code,['request']
27,10,the post code of rajmahal is c b r g,"['inform', 'offer']"
27,11,price range,['request']
27,12,rajmahal is in the moderate price range,"['inform', 'offer']"
27,13,thank you good bye,"['thankyou', 'bye']"
28,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
28,1,i am searching for a moderately priced restaurant in the east part of,['inform']
28,2,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,3,is there anything else,['reqalts']
28,4,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,5,is there another restaurant,['reqalts']
28,6,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,7,i dont care,['inform']
28,8,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,9,is there another restaurant in the moderately price range in the east part of town,"['inform', 'reqalts']"
28,10,curry prince is in the moderate price range,"['inform', 'offer']"
28,11,is there anything else,['reqalts']
28,12,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,13,is there anything else,['reqalts']
28,14,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,15,dont care is there anything else,"['inform', 'reqalts']"
28,16,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,17,i dont care,['inform']
28,18,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,19,is there anything else,['reqalts']
28,20,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,21,i dont care,['inform']
28,22,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,23,care,['null']
28,24,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,25,dont care,['inform']
28,26,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,27,i dont care,['inform']
28,28,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,29,is there anything else,['reqalts']
28,30,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,31,is there anything else,['reqalts']
28,32,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,33,i dont care,['inform']
28,34,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,35,i dont care,['inform']
28,36,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,37,dont care,['inform']
28,38,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,39,is there another,['reqalts']
28,40,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,41,dont care,['inform']
28,42,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,43,is there anything else,['reqalts']
28,44,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,45,is there any,['null']
28,46,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
28,47,thank you good,['thankyou']
29,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
29,1,i am looking for an expensive restaurant in the east,['inform']
29,2,what kind of food would you like?,['request']
29,3,any type of food,['inform']
29,4,restaurant is a nice place in the east of town and the prices are expensive,"['inform', 'offer']"
29,5,whats its addresses,['request']
29,6,sure restaurant is on newmarket road fen ditton,"['inform', 'offer']"
29,7,what type of food is it,['request']
29,8,restaurant serves indian food,"['inform', 'offer']"
29,9,thank you good bye,"['thankyou', 'bye']"
29,10,grafton hotel restaurant is a nice place in the east of town and the prices are expensive,"['inform', 'offer']"
29,11,whats its addresses,['request']
29,12,sure grafton hotel restaurant is on grafton hotel newmarket road fen ditton,"['inform', 'offer']"
29,13,what type of food,['request']
29,14,grafton hotel restaurant is a great restaurant,['offer']
29,15,type of food,['request']
29,16,grafton hotel restaurant serves british food,"['inform', 'offer']"
29,17,thank you good bye,"['thankyou', 'bye']"
30,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
30,1,looking for a cheap restaurant in the west part of town,['inform']
30,2,let me confirm you are looking for a restaurant in the cheap price range right?,['expl-conf']
30,3,right,['affirm']
30,4,what kind of food would you like?,['request']
30,5,any,['inform']
30,6,la margherita is a nice place in the west of town and the prices are cheap,"['inform', 'offer']"
30,7,whats the addresses,['request']
30,8,sure la margherita is on magdalene street city centre,"['inform', 'offer']"
30,9,phone number,['request']
30,10,the phone number of la margherita is,"['inform', 'offer']"
30,11,thank you good bye,"['thankyou', 'bye']"
31,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
31,1,sil,['null']
31,2,what kind of food would you like?,['request']
31,3,im looking for a restaurant in the east part of town,['inform']
31,4,would you like something in the cheap moderate or expensive price range?,['request']
31,5,i dont care,['inform']
31,6,curry prince is a nice restaurant in the east of town in the moderate price range,"['inform', 'offer']"
31,7,i want swiss food,['inform']
31,8,sorry there is no swiss restaurant in the east of town,['canthelp']
31,9,how about chinese food,"['inform', 'reqalts']"
31,10,yu garden is a nice restaurant in the east of town serving chinese food,"['inform', 'offer']"
31,11,what is the addresses and phone number,['request']
31,12,the phone number of yu garden is and it is on newmarket road fen ditton,"['inform', 'offer']"
31,13,what is the post code,['request']
31,14,the post code of yu garden is c b p a,"['inform', 'offer']"
31,15,thank you good bye,"['thankyou', 'bye']"
32,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
32,1,im looking for a restaurant in the south part of town serving,['inform']
32,2,would you like something in the cheap moderate or expensive price range?,['request']
32,3,i dont care,['inform']
32,4,what kind of food would you like?,['request']
32,5,traditional food,['inform']
32,6,sorry there is no traditional restaurant in the south of town,['canthelp']
32,7,what about italian,"['inform', 'reqalts']"
